prediction_index,reference_locus,gene,annotation,method,rank,p_value,fdr,combined_p_value,energy,strand,gene_start,gene_end,translation_start,mrna_start,mrna_stop,binding_left,binding_right,srna_start,srna_stop,srna_binding_left,srna_binding_right,genomic_binding_coord_1,genomic_binding_coord_2,genomic_binding_left,genomic_binding_right,TSS_support,representative_TSS,representative_TSS_rel_start,local_UTR5_length,operon_aware_UTR5_length,operon_id,operon_size,operon_position,operon_role,transcript_context_class,binding_position_basic,binding_context,binding_upstream_of_selected_TSS,binding_review_flag,source_file
11,MIDG2331_RS00615,proQ,RNA chaperone ProQ,IntaRNA,78,0.0451738,0.967073,,-9.8,+,138579,139127,138579,-4,33,-4,33,54,95,54,95,138575,138612,138575,138612,Both_concordant,138523,-56,56,56,64,2,1,first,Operon_first_gene_with_local_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
12,MIDG2331_RS00670,rsgA,small ribosomal subunit biogenesis GTPase RsgA,CopraRNA,14,0.02991,0.38110514,0.024599759,-13.4463,-,148122,149156,149156,25,87,25,87,54,97,54,97,149131,149069,149069,149131,Both_concordant,149183,-27,27,27,67,4,1,first,Operon_first_gene_with_local_TSS,CDS,CDS,FALSE,,CopraRNA_GcvB_APP8_EC_SM_PM.csv
13,MIDG2331_RS00670,rsgA,small ribosomal subunit biogenesis GTPase RsgA,IntaRNA,55,0.0316056,0.967073,,-10.4,-,148122,149156,149156,26,66,26,66,63,97,63,97,149130,149090,149090,149130,Both_concordant,149183,-27,27,27,67,4,1,first,Operon_first_gene_with_local_TSS,CDS,CDS,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
14,MIDG2331_RS00675,gcvA,transcriptional regulator GcvA,CopraRNA,1,0,0,0,-113.768,+,149666,150556,149666,-200,-112,-200,-112,1,89,1,89,149466,149554,149466,149554,Both_discordant,,,,,68,4,1,first,Operon_first_gene_without_representative_TSS,upstream_of_translation_start,upstream_unresolved,FALSE,upstream_binding_without_representative_TSS,CopraRNA_GcvB_APP8_EC_SM_PM.csv
15,MIDG2331_RS00685,cysB,HTH-type transcriptional regulator CysB,IntaRNA,3,1.045e-4,0.0741602,,-18.23,+,151236,152219,151236,12,74,12,74,28,89,28,89,151248,151310,151248,151310,Both_concordant,151123,-113,113,,68,4,3,internal,Internal_gene_with_local_TSS_candidate,CDS,CDS,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
16,MIDG2331_RS00715,leuC,3-isopropylmalate dehydratase large subunit,IntaRNA,9,0.0021458,0.5076009,,-14.45,-,157199,158608,158608,-38,-22,-38,-22,76,92,76,92,158646,158630,158630,158646,Both_concordant,158703,-95,95,95,72,2,1,first,Operon_first_gene_with_local_TSS,upstream_of_translation_start,5UTR,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
17,MIDG2331_RS00895,dksA,RNA polymerase-binding protein DksA,TargetRNA2,45,0.05,,,-8.26,+,196616,197065,196616,-1,-16,-16,-1,132,147,132,147,196615,196600,196600,196615,Both_concordant,196551,-65,65,65,86,3,1,first,Operon_first_gene_with_local_TSS,upstream_of_translation_start,5UTR,FALSE,,TargetRNA2_GcvB_APP5.csv
18,MIDG2331_RS00945,aroF,3-deoxy-7-phosphoheptulonate synthase,CopraRNA,11,0.1783589,0.38110514,0.021937174,-9.71432,-,207567,208628,208628,-9,22,-9,22,31,61,31,61,208637,208606,208606,208637,WT_broth_only,208660,-32,32,,91,3,2,internal,Internal_gene_with_local_TSS_candidate,overlaps_start_codon,overlaps_start_codon,FALSE,,CopraRNA_GcvB_APP8_EC_SM_PM.csv
19,MIDG2331_RS01055,dxs,1-deoxy-D-xylulose-5-phosphate synthase,TargetRNA2,19,0.013,,,-11.04,+,228650,230503,228650,-5,12,-5,12,79,96,79,96,228645,228662,228645,228662,No_proximal_TSS,,,,,102,1,1,single,Single_gene_without_representative_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,TargetRNA2_GcvB_APP5.csv
20,MIDG2331_RS01105,csy1,type I-F CRISPR-associated protein Csy1,IntaRNA,7,0.0019949,0.5076009,,-14.55,-,242676,244025,244025,46,73,46,73,58,88,58,88,243979,243952,243952,243979,Both_concordant,244050,-25,25,25,107,4,1,first,Operon_first_gene_with_local_TSS,CDS,CDS,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
21,MIDG2331_RS01225,mutT,8-oxo-dGTP diphosphatase MutT,IntaRNA,27,0.0126004,0.967073,,-11.87,+,262206,262604,262206,-28,17,-28,17,39,86,39,86,262178,262223,262178,262223,WT_broth_only,262151,-55,55,,119,3,3,last,Last_gene_with_local_TSS_candidate,overlaps_start_codon,overlaps_start_codon,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
22,MIDG2331_RS01240,argD2,aspartate aminotransferase family protein,CopraRNA,10,0.2782542,0.38110514,0.020481934,-8.74422,+,264681,265862,264681,-3,21,-3,21,72,94,72,94,264678,264702,264678,264702,No_proximal_TSS,,,,,120,3,3,last,Last_gene_without_local_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,CopraRNA_GcvB_APP8_EC_SM_PM.csv
23,MIDG2331_RS01485,hsdM2,type I restriction-modification system subunit M,IntaRNA,12,0.0054468,0.9562049,,-13.13,+,320994,322544,320994,-24,19,-24,19,134,172,134,172,320970,321013,320970,321013,No_proximal_TSS,,,,,146,3,2,internal,Internal_gene_without_local_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
24,MIDG2331_RS01660,metC,cystathionine beta-lyase,CopraRNA,18,0.0432595,0.482285435,0.039459717,-12.6745,-,361950,363140,363140,-9,11,-9,11,69,89,69,89,363149,363129,363129,363149,No_proximal_TSS,,,,,166,1,1,single,Single_gene_without_representative_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,CopraRNA_GcvB_APP8_EC_SM_PM.csv
25,MIDG2331_RS01660,metC,cystathionine beta-lyase,IntaRNA,80,0.0473385,0.967073,,-9.72,-,361950,363140,363140,-7,15,-7,15,62,87,62,87,363147,363125,363125,363147,No_proximal_TSS,,,,,166,1,1,single,Single_gene_without_representative_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
26,MIDG2331_RS01960,glpB,glycerol-3-phosphate dehydrogenase subunit GlpB,IntaRNA,10,0.0027035,0.5755752,,-14.13,+,437895,439181,437895,-16,-6,-16,-6,135,145,135,145,437879,437889,437879,437889,No_proximal_TSS,,,,,203,3,2,internal,Internal_gene_without_local_TSS,upstream_of_translation_start,upstream_unresolved,FALSE,upstream_binding_without_representative_TSS,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
27,MIDG2331_RS02235,leuB,3-isopropylmalate dehydrogenase,CopraRNA,4,0.0302295,0.008065395,1.46644e-4,-13.424,+,494812,495894,494812,-2,17,-2,17,76,93,76,93,494810,494829,494810,494829,Both_concordant,494782,-30,30,30,235,1,1,single,Single_gene_with_local_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,CopraRNA_GcvB_APP8_EC_SM_PM.csv
28,MIDG2331_RS02245,gap,type I glyceraldehyde-3-phosphate dehydrogenase,IntaRNA,68,0.0382892,0.967073,,-10.08,+,496636,497640,496636,57,72,57,72,74,90,74,90,496693,496708,496693,496708,Both_discordant,,,,,237,1,1,single,Single_gene_without_representative_TSS,CDS,CDS,FALSE,discordant_TSS_context,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
29,MIDG2331_RS02300,ykgF,LutB/LldF family L-lactate oxidation iron-sulfur protein,IntaRNA,35,0.0185959,0.967073,,-11.26,-,517763,519172,519172,51,73,51,73,72,89,72,89,519121,519099,519099,519121,WT_plate_only,519504,-332,332,,244,4,3,internal,Internal_gene_with_local_TSS_candidate,CDS,CDS,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
30,MIDG2331_RS02335,sucC,ADP-forming succinate--CoA ligase subunit beta,CopraRNA,30,0.2832907,0.628428637,0.085718331,-8.70393,-,526806,527972,527972,-15,-6,-15,-6,140,149,140,149,527987,527978,527978,527987,Both_concordant,528006,-34,34,34,248,2,1,first,Operon_first_gene_with_local_TSS,upstream_of_translation_start,5UTR,FALSE,,CopraRNA_GcvB_APP8_EC_SM_PM.csv
31,MIDG2331_RS02505,rplY,50S ribosomal protein L25,CopraRNA,26,0.0987368,0.628428637,0.080960906,-10.9582,+,562824,563111,562824,-3,23,-3,23,50,83,50,83,562821,562847,562821,562847,Both_discordant,,,,,267,1,1,single,Single_gene_without_representative_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,discordant_TSS_context,CopraRNA_GcvB_APP8_EC_SM_PM.csv
32,MIDG2331_RS02505,rplY,50S ribosomal protein L25,IntaRNA,39,0.0205579,0.967073,,-11.1,+,562824,563111,562824,-3,24,-3,24,50,83,50,83,562821,562848,562821,562848,Both_discordant,,,,,267,1,1,single,Single_gene_without_representative_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,discordant_TSS_context,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
33,MIDG2331_RS02785,mukB,chromosome partition protein MukB,IntaRNA,23,0.0107089,0.9562049,,-12.12,+,621450,625940,621450,1,31,1,31,63,91,63,91,621451,621481,621451,621481,No_proximal_TSS,,,,,287,3,3,last,Last_gene_without_local_TSS,CDS,CDS,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
34,MIDG2331_RS02890,rpsI,30S ribosomal protein S9,CopraRNA,7,0.2309969,0.093496434,0.002974887,-9.15611,+,651993,652388,651993,-62,-53,-62,-53,79,88,79,88,651931,651940,651931,651940,WT_plate_only,651821,-172,172,,300,2,2,last,Last_gene_with_local_TSS_candidate,upstream_of_translation_start,candidate_internal_5UTR,FALSE,internal_operon_gene_local_TSS,CopraRNA_GcvB_APP8_EC_SM_PM.csv
35,MIDG2331_RS02905,fieF,cation diffusion facilitator family transporter,IntaRNA,44,0.0221533,0.967073,,-10.98,+,653863,654786,653863,-29,-2,-29,-2,137,170,137,170,653834,653861,653834,653861,No_proximal_TSS,,,,,301,4,3,internal,Internal_gene_without_local_TSS,upstream_of_translation_start,upstream_unresolved,FALSE,upstream_binding_without_representative_TSS,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
36,MIDG2331_RS02970,lrp,leucine-responsive transcriptional regulator Lrp,IntaRNA,20,0.0095776,0.9562049,,-12.29,+,667396,667878,667396,41,62,41,62,53,73,53,73,667437,667458,667437,667458,Both_concordant,667246,-150,150,150,309,2,1,first,Operon_first_gene_with_local_TSS,CDS,CDS,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
37,MIDG2331_RS02970,lrp,leucine-responsive transcriptional regulator Lrp,TargetRNA2,39,0.043,,,-8.66,+,667396,667878,667396,-76,-63,-76,-63,73,89,73,89,667320,667333,667320,667333,Both_concordant,667246,-150,150,150,309,2,1,first,Operon_first_gene_with_local_TSS,upstream_of_translation_start,5UTR,FALSE,,TargetRNA2_GcvB_APP5.csv
38,MIDG2331_RS02975,ftsK,DNA translocase FtsK,IntaRNA,64,0.0362892,0.967073,,-10.17,+,667890,670760,667890,-47,-38,-47,-38,133,142,133,142,667843,667852,667843,667852,No_proximal_TSS,,,,,309,2,2,last,Last_gene_without_local_TSS,upstream_of_translation_start,upstream_unresolved,FALSE,upstream_binding_without_representative_TSS,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
39,MIDG2331_RS02975,ftsK,DNA translocase FtsK,TargetRNA2,15,0.011,,,-11.34,+,667890,670760,667890,-48,-37,-48,-37,132,143,132,143,667842,667853,667842,667853,No_proximal_TSS,,,,,309,2,2,last,Last_gene_without_local_TSS,upstream_of_translation_start,upstream_unresolved,FALSE,upstream_binding_without_representative_TSS,TargetRNA2_GcvB_APP5.csv
40,MIDG2331_RS03230,ompP2B,porin,IntaRNA,67,0.037166,0.967073,,-10.13,-,712179,713264,713264,34,48,34,48,75,89,75,89,713230,713216,713216,713230,Both_discordant,,,,,339,1,1,single,Single_gene_without_representative_TSS,CDS,CDS,FALSE,discordant_TSS_context,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
41,MIDG2331_RS03295,aspC,amino acid aminotransferase,IntaRNA,81,0.0490236,0.967073,,-9.66,+,725436,726632,725436,-33,-24,-33,-24,79,88,79,88,725403,725412,725403,725412,WT_broth_only,725403,-33,33,33,346,1,1,single,Single_gene_with_local_TSS,upstream_of_translation_start,5UTR,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
42,MIDG2331_RS03295,aspC,amino acid aminotransferase,TargetRNA2,30,0.03,,,-9.47,+,725436,726632,725436,-34,-19,-34,-19,73,89,73,89,725402,725417,725402,725417,WT_broth_only,725403,-33,33,33,346,1,1,single,Single_gene_with_local_TSS,upstream_of_translation_start,overlaps_selected_TSS,FALSE,,TargetRNA2_GcvB_APP5.csv
43,MIDG2331_RS03300,pepP,Xaa-Pro aminopeptidase,IntaRNA,54,0.0302946,0.967073,,-10.47,-,726812,728098,728098,17,30,17,30,43,57,43,57,728081,728068,728068,728081,Both_concordant,728120,-22,22,22,347,1,1,single,Single_gene_with_local_TSS,CDS,CDS,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
44,MIDG2331_RS03400,metB,methionine biosynthesis PLP-dependent protein,CopraRNA,16,0.0324309,0.392898414,0.029073073,-13.2766,-,750728,751864,751864,-22,25,-22,25,133,170,133,170,751886,751839,751839,751886,No_proximal_TSS,,,,,360,1,1,single,Single_gene_without_representative_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,CopraRNA_GcvB_APP8_EC_SM_PM.csv
45,MIDG2331_RS03400,metB,methionine biosynthesis PLP-dependent protein,IntaRNA,71,0.039914,0.967073,,-10.01,-,750728,751864,751864,-22,26,-22,26,133,170,133,170,751886,751838,751838,751886,No_proximal_TSS,,,,,360,1,1,single,Single_gene_without_representative_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
46,MIDG2331_RS03495,hisC,histidinol-phosphate transaminase,TargetRNA2,22,0.02,,,-10.32,-,773752,774846,774846,2,20,2,20,74,89,74,89,774844,774826,774826,774844,Both_concordant,774880,-34,34,34,369,3,1,first,Operon_first_gene_with_local_TSS,CDS,CDS,FALSE,,TargetRNA2_GcvB_APP5.csv
47,MIDG2331_RS03505,serC,3-phosphoserine/phosphohydroxythreonine transaminase,TargetRNA2,14,0.011,,,-11.44,-,776520,777608,777608,-10,6,-10,6,74,90,74,90,777618,777602,777602,777618,No_proximal_TSS,,,,,371,1,1,single,Single_gene_without_representative_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,TargetRNA2_GcvB_APP5.csv
48,MIDG2331_RS03630,ilvI,acetolactate synthase 3 large subunit,IntaRNA,2,3.3e-6,0.0035129,,-21.75,+,806361,808085,806361,-40,-14,-40,-14,63,89,63,89,806321,806347,806321,806347,WT_broth_only,806313,-48,48,48,388,2,1,first,Operon_first_gene_with_local_TSS,upstream_of_translation_start,5UTR,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
49,MIDG2331_RS03630,ilvI,acetolactate synthase 3 large subunit,TargetRNA2,3,0,,,-15.74,+,806361,808085,806361,-41,-26,-41,-26,75,90,75,90,806320,806335,806320,806335,WT_broth_only,806313,-48,48,48,388,2,1,first,Operon_first_gene_with_local_TSS,upstream_of_translation_start,5UTR,FALSE,,TargetRNA2_GcvB_APP5.csv
50,MIDG2331_RS03735,aroC,chorismate synthase,CopraRNA,12,0.1636596,0.38110514,0.02223505,-9.8974,-,824899,825981,825981,3,21,3,21,72,89,72,89,825978,825960,825960,825978,No_proximal_TSS,,,,,397,6,5,internal,Internal_gene_without_local_TSS,CDS,CDS,FALSE,,CopraRNA_GcvB_APP8_EC_SM_PM.csv
51,MIDG2331_RS03810,arfA,alternative ribosome-rescue factor A,IntaRNA,45,0.0228512,0.967073,,-10.93,-,842285,842527,842527,13,41,13,41,157,184,157,184,842514,842486,842486,842514,Both_concordant,842568,-41,41,41,404,1,1,single,Single_gene_with_local_TSS,CDS,CDS,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
52,MIDG2331_RS03840,sstT,serine/threonine transporter SstT,CopraRNA,31,0.2294558,0.628428637,0.088551308,-9.17074,-,849091,850305,850305,-16,-4,-16,-4,133,147,133,147,850321,850309,850309,850321,WT_broth_only,850369,-64,64,64,407,1,1,single,Single_gene_with_local_TSS,upstream_of_translation_start,5UTR,FALSE,,CopraRNA_GcvB_APP8_EC_SM_PM.csv
53,MIDG2331_RS04545,dapA,4-hydroxy-tetrahydrodipicolinate synthase,IntaRNA,58,0.0317971,0.967073,,-10.39,-,1011389,1012282,1012282,-15,-8,-15,-8,141,148,141,148,1012297,1012290,1012290,1012297,Both_discordant,,,,,491,1,1,single,Single_gene_without_representative_TSS,upstream_of_translation_start,upstream_unresolved,FALSE,upstream_binding_without_representative_TSS,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
54,MIDG2331_RS04545,dapA,4-hydroxy-tetrahydrodipicolinate synthase,TargetRNA2,27,0.027,,,-9.72,-,1011389,1012282,1012282,-21,-2,-21,-2,135,154,135,154,1012303,1012284,1012284,1012303,Both_discordant,,,,,491,1,1,single,Single_gene_without_representative_TSS,upstream_of_translation_start,upstream_unresolved,FALSE,upstream_binding_without_representative_TSS,TargetRNA2_GcvB_APP5.csv
55,MIDG2331_RS04600,hlpA,MetQ/NlpA family lipoprotein,CopraRNA,9,0.0892114,0.340819822,0.013942629,-11.1694,-,1020547,1021368,1021368,-28,-15,-28,-15,75,88,75,88,1021396,1021383,1021383,1021396,No_proximal_TSS,,,,,501,4,3,internal,Internal_gene_without_local_TSS,upstream_of_translation_start,upstream_unresolved,FALSE,upstream_binding_without_representative_TSS,CopraRNA_GcvB_APP8_EC_SM_PM.csv
56,MIDG2331_RS04600,hlpA,MetQ/NlpA family lipoprotein,IntaRNA,63,0.035858,0.967073,,-10.19,-,1020547,1021368,1021368,-27,-15,-27,-15,75,87,75,87,1021395,1021383,1021383,1021395,No_proximal_TSS,,,,,501,4,3,internal,Internal_gene_without_local_TSS,upstream_of_translation_start,upstream_unresolved,FALSE,upstream_binding_without_representative_TSS,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
57,MIDG2331_RS04665,hscA,Fe-S protein assembly chaperone HscA,IntaRNA,57,0.0317971,0.967073,,-10.39,-,1035052,1036905,1036905,-34,-8,-34,-8,56,87,56,87,1036939,1036913,1036913,1036939,No_proximal_TSS,,,,,509,3,1,first,Operon_first_gene_without_representative_TSS,upstream_of_translation_start,upstream_unresolved,FALSE,upstream_binding_without_representative_TSS,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
58,MIDG2331_RS04690,iscU,Fe-S cluster assembly scaffold IscU,CopraRNA,17,0.0918787,0.392898414,0.030360332,-11.1081,-,1039184,1039567,1039567,-37,-7,-37,-7,135,166,135,166,1039604,1039574,1039574,1039604,WT_plate_only,1039718,-151,151,,510,7,3,internal,Internal_gene_with_local_TSS_candidate,upstream_of_translation_start,candidate_internal_5UTR,FALSE,internal_operon_gene_local_TSS,CopraRNA_GcvB_APP8_EC_SM_PM.csv
59,MIDG2331_RS04730,bioD,dethiobiotin synthase,IntaRNA,65,0.0367252,0.967073,,-10.15,-,1047451,1048095,1048095,-15,-6,-15,-6,134,143,134,143,1048110,1048101,1048101,1048110,No_proximal_TSS,,,,,515,6,5,internal,Internal_gene_without_local_TSS,upstream_of_translation_start,upstream_unresolved,FALSE,upstream_binding_without_representative_TSS,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
60,MIDG2331_RS05485,arcD1,basic amino acid/polyamine antiporter,IntaRNA,5,0.0016723,0.5076009,,-14.79,+,1227126,1228541,1227126,-28,-15,-28,-15,75,88,75,88,1227098,1227111,1227098,1227111,No_proximal_TSS,,,,,600,5,2,internal,Internal_gene_without_local_TSS,upstream_of_translation_start,upstream_unresolved,FALSE,upstream_binding_without_representative_TSS,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
61,MIDG2331_RS05485,arcD1,basic amino acid/polyamine antiporter,TargetRNA2,2,0,,,-17.27,+,1227126,1228541,1227126,-29,-14,-29,-14,74,89,74,89,1227097,1227112,1227097,1227112,No_proximal_TSS,,,,,600,5,2,internal,Internal_gene_without_local_TSS,upstream_of_translation_start,upstream_unresolved,FALSE,upstream_binding_without_representative_TSS,TargetRNA2_GcvB_APP5.csv
62,MIDG2331_RS05515,arsB,ACR3 family arsenite efflux transporter,TargetRNA2,10,0.006,,,-12.35,-,1235731,1236732,1236732,-13,8,-13,8,139,159,139,159,1236745,1236724,1236724,1236745,No_proximal_TSS,,,,,603,3,3,last,Last_gene_without_local_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,TargetRNA2_GcvB_APP5.csv
63,MIDG2331_RS05685,tsaD,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD,TargetRNA2,29,0.03,,,-9.49,-,1270821,1271864,1271864,-10,9,-10,9,83,100,83,100,1271874,1271855,1271855,1271874,Both_concordant,1272356,-492,492,492,622,4,1,first,Operon_first_gene_with_local_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,TargetRNA2_GcvB_APP5.csv
64,MIDG2331_RS05710,nifS,aminotransferase class V-fold PLP-dependent enzyme,IntaRNA,43,0.0220161,0.967073,,-10.99,-,1275762,1276964,1276964,-57,-51,-57,-51,172,178,172,178,1277021,1277015,1277015,1277021,WT_broth_only,1277088,-124,124,,626,2,2,last,Last_gene_with_local_TSS_candidate,upstream_of_translation_start,candidate_internal_5UTR,FALSE,internal_operon_gene_local_TSS,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
65,MIDG2331_RS05800,aroE,shikimate dehydrogenase,TargetRNA2,34,0.035,,,-9.11,-,1290799,1291623,1291623,-34,-24,-34,-24,76,86,76,86,1291657,1291647,1291647,1291657,No_proximal_TSS,,,,,634,6,6,last,Last_gene_without_local_TSS,upstream_of_translation_start,upstream_unresolved,FALSE,upstream_binding_without_representative_TSS,TargetRNA2_GcvB_APP5.csv
66,MIDG2331_RS05925,trpE,anthranilate synthase component 1,CopraRNA,6,0.0479296,0.093496434,0.002886598,-12.4609,+,1315237,1316787,1315237,17,27,17,27,79,89,79,89,1315254,1315264,1315254,1315264,No_proximal_TSS,,,,,648,4,1,first,Operon_first_gene_without_representative_TSS,CDS,CDS,FALSE,,CopraRNA_GcvB_APP8_EC_SM_PM.csv
67,MIDG2331_RS05925,trpE,anthranilate synthase component 1,IntaRNA,19,0.0093899,0.9562049,,-12.32,+,1315237,1316787,1315237,18,28,18,28,79,89,79,89,1315255,1315265,1315255,1315265,No_proximal_TSS,,,,,648,4,1,first,Operon_first_gene_without_representative_TSS,CDS,CDS,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
