reference_locus,gene,annotation,strand,gene_start,gene_end,translation_start,TSS_support,WT_plate_TSS,WT_broth_TSS,TSS_difference,representative_TSS,representative_TSS_rel_start,local_UTR5_length,operon_aware_UTR5_length,multiple_proximal_TSS,operon_id,operon_size,operon_position,operon_role,operon_status,operon_start_compatible,operon_left,operon_right,operon_first_orf,operon_last_orf,operon_members_ordered,transcript_context_class,UTR_interpretation,transcript_review_flag,n_method_level_interactions,n_prediction_methods,any_5UTR_binding,any_candidate_internal_5UTR_binding,any_start_codon_overlap,any_CDS_binding,any_binding_upstream_of_TSS
MIDG2331_RS00715,leuC,3-isopropylmalate dehydratase large subunit,-,157199,158608,158608,Both_concordant,158703,158703,0,158703,-95,95,95,FALSE,72,2,1,first,First gene in polycistronic operon,TRUE,156586,158608,leuC,leuD,leuC;leuD,Operon_first_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,,1,1,TRUE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS00895,dksA,RNA polymerase-binding protein DksA,+,196616,197065,196616,Both_concordant,196551,196542,9,196551,-65,65,65,TRUE,86,3,1,first,First gene in polycistronic operon,TRUE,196616,199280,dksA,folK,dksA;pcnB;folK,Operon_first_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,multiple_proximal_TSS,1,1,TRUE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS00945,aroF,3-deoxy-7-phosphoheptulonate synthase,-,207567,208628,208628,WT_broth_only,,208660,,208660,-32,32,,FALSE,91,3,2,internal,Internal gene in polycistronic operon,FALSE,206333,209716,cds-WP_039708932.1,tyrA,cds-WP_039708932.1;cds-WP_005600235.1;tyrA,Internal_gene_with_local_TSS_candidate,Candidate_internal_transcript_5UTR,possible_internal_promoter,1,1,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS01055,dxs,1-deoxy-D-xylulose-5-phosphate synthase,+,228650,230503,228650,No_proximal_TSS,,,,,,,,FALSE,102,1,1,single,Single-gene operon,TRUE,228650,230503,dxs,dxs,dxs,Single_gene_without_representative_TSS,No_proximal_TSS_detected,no_proximal_TSS,1,1,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS01105,csy1,type I-F CRISPR-associated protein Csy1,-,242676,244025,244025,Both_concordant,244050,244049,1,244050,-25,25,25,FALSE,107,4,1,first,First gene in polycistronic operon,TRUE,240151,244025,csy1,cas6f,csy1;csy2;csy3;cas6f,Operon_first_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
MIDG2331_RS01225,mutT,8-oxo-dGTP diphosphatase MutT,+,262206,262604,262206,WT_broth_only,,262151,,262151,-55,55,,FALSE,119,3,3,last,Last gene in polycistronic operon,FALSE,258175,262604,secA,mutT,secA;cds-WP_039708944.1;mutT,Last_gene_with_local_TSS_candidate,Candidate_internal_transcript_5UTR,possible_internal_promoter,1,1,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS01240,argD2,aspartate aminotransferase family protein,+,264681,265862,264681,No_proximal_TSS,,,,,,,,FALSE,120,3,3,last,Last gene in polycistronic operon,FALSE,262839,265862,argC,cds-WP_039708945.1,argC;argB;cds-WP_039708945.1,Last_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,1,1,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS01485,hsdM2,type I restriction-modification system subunit M,+,320994,322544,320994,No_proximal_TSS,,,,,,,,FALSE,146,3,2,internal,Internal gene in polycistronic operon,FALSE,318208,323542,gyrA,cds-WP_039708958.1,gyrA;cds-WP_039708957.1;cds-WP_039708958.1,Internal_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,1,1,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS01660,metC,cystathionine beta-lyase,-,361950,363140,363140,No_proximal_TSS,,,,,,,,FALSE,166,1,1,single,Single-gene operon,TRUE,361950,363140,metC,metC,metC,Single_gene_without_representative_TSS,No_proximal_TSS_detected,no_proximal_TSS,2,2,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS01960,glpB,glycerol-3-phosphate dehydrogenase subunit GlpB,+,437895,439181,437895,No_proximal_TSS,,,,,,,,FALSE,203,3,2,internal,Internal gene in polycistronic operon,FALSE,436220,440452,glpA,glpC,glpA;glpB;glpC,Internal_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS02235,leuB,3-isopropylmalate dehydrogenase,+,494812,495894,494812,Both_concordant,494782,494782,0,494782,-30,30,30,TRUE,235,1,1,single,Single-gene operon,TRUE,494812,495894,leuB,leuB,leuB,Single_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,multiple_proximal_TSS,1,1,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS02245,gap,type I glyceraldehyde-3-phosphate dehydrogenase,+,496636,497640,496636,Both_discordant,496603,496567,36,,,,,TRUE,237,1,1,single,Single-gene operon,TRUE,496636,497640,gap,gap,gap,Single_gene_without_representative_TSS,Unresolved_discordant_TSS_calls,discordant_plate_broth_TSS,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
MIDG2331_RS02300,ykgF,LutB/LldF family L-lactate oxidation iron-sulfur protein,-,517763,519172,519172,WT_plate_only,519504,,,519504,-332,332,,FALSE,244,4,3,internal,Internal gene in polycistronic operon,FALSE,516939,521672,cds-WP_058230459.1,cds-WP_005611661.1,cds-WP_058230459.1;cds-WP_005596552.1;cds-WP_039709011.1;cds-WP_005611661.1,Internal_gene_with_local_TSS_candidate,Candidate_internal_transcript_5UTR,possible_internal_promoter,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
MIDG2331_RS02335,sucC,ADP-forming succinate--CoA ligase subunit beta,-,526806,527972,527972,Both_concordant,528006,528006,0,528006,-34,34,34,FALSE,248,2,1,first,First gene in polycistronic operon,TRUE,525931,527972,sucC,sucD,sucC;sucD,Operon_first_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,,1,1,TRUE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS02505,rplY,50S ribosomal protein L25,+,562824,563111,562824,Both_discordant,562752,562723,29,,,,,TRUE,267,1,1,single,Single-gene operon,TRUE,562824,563111,rplY,rplY,rplY,Single_gene_without_representative_TSS,Unresolved_discordant_TSS_calls,discordant_plate_broth_TSS,2,2,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS02785,mukB,chromosome partition protein MukB,+,621450,625940,621450,No_proximal_TSS,,,,,,,,FALSE,287,3,3,last,Last gene in polycistronic operon,FALSE,619305,625940,mukF,mukB,mukF;mukE;mukB,Last_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
MIDG2331_RS02890,rpsI,30S ribosomal protein S9,+,651993,652388,651993,WT_plate_only,651821,,,651821,-172,172,,FALSE,300,2,2,last,Last gene in polycistronic operon,FALSE,651548,652388,rplM,rpsI,rplM;rpsI,Last_gene_with_local_TSS_candidate,Candidate_internal_transcript_5UTR,possible_internal_promoter,1,1,FALSE,TRUE,FALSE,FALSE,FALSE
MIDG2331_RS02905,fieF,cation diffusion facilitator family transporter,+,653863,654786,653863,No_proximal_TSS,,,,,,,,FALSE,301,4,3,internal,Internal gene in polycistronic operon,FALSE,652510,655537,yaaA,cds-WP_005611845.1,yaaA;cds-WP_005611843.1;cds-WP_005600733.1;cds-WP_005611845.1,Internal_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS02970,lrp,leucine-responsive transcriptional regulator Lrp,+,667396,667878,667396,Both_concordant,667246,667246,0,667246,-150,150,150,FALSE,309,2,1,first,First gene in polycistronic operon,TRUE,667396,670760,lrp,cds-WP_039709543.1,lrp;cds-WP_039709543.1,Operon_first_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,,2,2,TRUE,FALSE,FALSE,TRUE,FALSE
MIDG2331_RS02975,ftsK,DNA translocase FtsK,+,667890,670760,667890,No_proximal_TSS,,,,,,,,FALSE,309,2,2,last,Last gene in polycistronic operon,FALSE,667396,670760,lrp,cds-WP_039709543.1,lrp;cds-WP_039709543.1,Last_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,2,2,FALSE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS03230,ompP2B,porin,-,712179,713264,713264,Both_discordant,713270,713331,61,,,,,TRUE,339,1,1,single,Single-gene operon,TRUE,712179,713264,cds-WP_039709061.1,cds-WP_039709061.1,cds-WP_039709061.1,Single_gene_without_representative_TSS,Unresolved_discordant_TSS_calls,discordant_plate_broth_TSS,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
MIDG2331_RS03295,aspC,amino acid aminotransferase,+,725436,726632,725436,WT_broth_only,,725403,,725403,-33,33,33,FALSE,346,1,1,single,Single-gene operon,TRUE,725436,726632,cds-WP_039709067.1,cds-WP_039709067.1,cds-WP_039709067.1,Single_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,,2,2,TRUE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS03300,pepP,Xaa-Pro aminopeptidase,-,726812,728098,728098,Both_concordant,728120,728119,1,728120,-22,22,22,FALSE,347,1,1,single,Single-gene operon,TRUE,726812,728098,pepP,pepP,pepP,Single_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
MIDG2331_RS03400,metB,methionine biosynthesis PLP-dependent protein,-,750728,751864,751864,No_proximal_TSS,,,,,,,,FALSE,360,1,1,single,Single-gene operon,TRUE,750728,751864,cds-WP_039709078.1,cds-WP_039709078.1,cds-WP_039709078.1,Single_gene_without_representative_TSS,No_proximal_TSS_detected,no_proximal_TSS,2,2,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS03495,hisC,histidinol-phosphate transaminase,-,773752,774846,774846,Both_concordant,774880,774880,0,774880,-34,34,34,FALSE,369,3,1,first,First gene in polycistronic operon,TRUE,770979,774846,hisC,argA,hisC;aroA;argA,Operon_first_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
MIDG2331_RS03505,serC,3-phosphoserine/phosphohydroxythreonine transaminase,-,776520,777608,777608,No_proximal_TSS,,,,,,,,FALSE,371,1,1,single,Single-gene operon,TRUE,776520,777608,serC,serC,serC,Single_gene_without_representative_TSS,No_proximal_TSS_detected,no_proximal_TSS,1,1,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS03630,ilvI,acetolactate synthase 3 large subunit,+,806361,808085,806361,WT_broth_only,,806313,,806313,-48,48,48,FALSE,388,2,1,first,First gene in polycistronic operon,TRUE,806361,808569,cds-WP_005597115.1,ilvN,cds-WP_005597115.1;ilvN,Operon_first_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,,2,2,TRUE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS03735,aroC,chorismate synthase,-,824899,825981,825981,No_proximal_TSS,,,,,,,,FALSE,397,6,5,internal,Internal gene in polycistronic operon,FALSE,823974,834662,seqA,mepA,seqA;menE;mscK_2;mscK;aroC;mepA,Internal_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
MIDG2331_RS03810,arfA,alternative ribosome-rescue factor A,-,842285,842527,842527,Both_concordant,842568,842568,0,842568,-41,41,41,FALSE,404,1,1,single,Single-gene operon,TRUE,842285,842527,cds-WP_039709093.1,cds-WP_039709093.1,cds-WP_039709093.1,Single_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
MIDG2331_RS03840,sstT,serine/threonine transporter SstT,-,849091,850305,850305,WT_broth_only,,850369,,850369,-64,64,64,FALSE,407,1,1,single,Single-gene operon,TRUE,849091,850305,sstT,sstT,sstT,Single_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,,1,1,TRUE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS04545,dapA,4-hydroxy-tetrahydrodipicolinate synthase,-,1011389,1012282,1012282,Both_discordant,1012331,1012311,20,,,,,TRUE,491,1,1,single,Single-gene operon,TRUE,1011389,1012282,dapA,dapA,dapA,Single_gene_without_representative_TSS,Unresolved_discordant_TSS_calls,discordant_plate_broth_TSS,2,2,FALSE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS04600,hlpA,MetQ/NlpA family lipoprotein,-,1020547,1021368,1021368,No_proximal_TSS,,,,,,,,FALSE,501,4,3,internal,Internal gene in polycistronic operon,FALSE,1019616,1023095,metN,cds-WP_005601246.1,metN;cds-WP_005597560.1;cds-WP_005612250.1;cds-WP_005601246.1,Internal_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,2,2,FALSE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS04665,hscA,Fe-S protein assembly chaperone HscA,-,1035052,1036905,1036905,No_proximal_TSS,,,,,,,,FALSE,509,3,1,first,First gene in polycistronic operon,TRUE,1034396,1036905,hscA,iscX,hscA;fdx;iscX,Operon_first_gene_without_representative_TSS,No_proximal_TSS_detected,no_proximal_TSS,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS04690,iscU,Fe-S cluster assembly scaffold IscU,-,1039184,1039567,1039567,WT_plate_only,1039718,,,1039718,-151,151,,TRUE,510,7,3,internal,Internal gene in polycistronic operon,FALSE,1037024,1041434,cds-WP_005597614.1,cds-WP_005597602.1,cds-WP_005597614.1;cds-WP_005597612.1;iscU;iscA;hscB;cds-WP_039709144.1;cds-WP_005597602.1,Internal_gene_with_local_TSS_candidate,Candidate_internal_transcript_5UTR,multiple_TSS_internal_operon_gene,1,1,FALSE,TRUE,FALSE,FALSE,FALSE
MIDG2331_RS04730,bioD,dethiobiotin synthase,-,1047451,1048095,1048095,No_proximal_TSS,,,,,,,,FALSE,515,6,5,internal,Internal gene in polycistronic operon,FALSE,1046919,1052010,bioA,smrB,bioA;cds-WP_039709147.1;cds-WP_005601275.1;bioC;bioD_2;smrB,Internal_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS05485,arcD1,basic amino acid/polyamine antiporter,+,1227126,1228541,1227126,No_proximal_TSS,,,,,,,,FALSE,600,5,2,internal,Internal gene in polycistronic operon,FALSE,1226140,1231989,cds-WP_005597940.1,argE,cds-WP_005597940.1;cds-WP_005604827.1;cds-WP_039709183.1;cds-WP_039709184.1;argE,Internal_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,2,2,FALSE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS05515,arsB,ACR3 family arsenite efflux transporter,-,1235731,1236732,1236732,No_proximal_TSS,,,,,,,,FALSE,603,3,3,last,Last gene in polycistronic operon,FALSE,1235731,1237522,cds-WP_039709186.1,arsB,cds-WP_039709186.1;arsC;arsB,Last_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,1,1,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS05685,tsaD,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD,-,1270821,1271864,1271864,Both_concordant,1272356,1272355,1,1272356,-492,492,492,FALSE,622,4,1,first,First gene in polycistronic operon,TRUE,1269804,1271864,tsaD,cyaY,tsaD;cds-WP_005612537.1;cds-WP_039709194.1;cyaY,Operon_first_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,,1,1,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS05710,nifS,aminotransferase class V-fold PLP-dependent enzyme,-,1275762,1276964,1276964,WT_broth_only,,1277088,,1277088,-124,124,,FALSE,626,2,2,last,Last gene in polycistronic operon,FALSE,1275762,1277662,cds-WP_039709196.1,cds-WP_039709195.1,cds-WP_039709196.1;cds-WP_039709195.1,Last_gene_with_local_TSS_candidate,Candidate_internal_transcript_5UTR,possible_internal_promoter,1,1,FALSE,TRUE,FALSE,FALSE,FALSE
MIDG2331_RS05800,aroE,shikimate dehydrogenase,-,1290799,1291623,1291623,No_proximal_TSS,,,,,,,,FALSE,634,6,6,last,Last gene in polycistronic operon,FALSE,1290799,1294664,recA,aroE,recA;recX;yqfB;cds-WP_039709201.1;tsaC;aroE,Last_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS05925,trpE,anthranilate synthase component 1,+,1315237,1316787,1315237,No_proximal_TSS,,,,,,,,FALSE,648,4,1,first,First gene in polycistronic operon,TRUE,1315237,1319247,cds-WP_039709210.1,cds-WP_005598083.1,cds-WP_039709210.1;cds-WP_039709211.1;trpD;cds-WP_005598083.1,Operon_first_gene_without_representative_TSS,No_proximal_TSS_detected,no_proximal_TSS,2,2,FALSE,FALSE,FALSE,TRUE,FALSE
MIDG2331_RS05935,trpD,anthranilate phosphoribosyltransferase,+,1317445,1318449,1317445,No_proximal_TSS,,,,,,,,FALSE,648,4,3,internal,Internal gene in polycistronic operon,FALSE,1315237,1319247,cds-WP_039709210.1,cds-WP_005598083.1,cds-WP_039709210.1;cds-WP_039709211.1;trpD;cds-WP_005598083.1,Internal_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,2,2,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS06010,argH,argininosuccinate lyase,-,1331015,1332391,1332391,WT_broth_only,,1332549,,1332549,-158,158,158,FALSE,656,1,1,single,Single-gene operon,TRUE,1331015,1332391,argH,argH,argH,Single_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,,1,1,TRUE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS06145,hxpB,hexitol phosphatase HxpB,-,1359047,1359697,1359697,Both_concordant,1359727,1359727,0,1359727,-30,30,30,FALSE,677,1,1,single,Single-gene operon,TRUE,1359047,1359697,hxpB,hxpB,hxpB,Single_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,,2,2,FALSE,FALSE,FALSE,TRUE,FALSE
MIDG2331_RS06220,serB,phosphoserine phosphatase SerB,+,1373141,1374001,1373141,No_proximal_TSS,,,,,,,,FALSE,687,3,1,first,First gene in polycistronic operon,TRUE,1373141,1374797,serB,cds-WP_005620436.1,serB;cds-WP_009875523.1;cds-WP_005620436.1,Operon_first_gene_without_representative_TSS,No_proximal_TSS_detected,no_proximal_TSS,2,2,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS06360,pstB,phosphate ABC transporter ATP-binding protein PstB,-,1408817,1409596,1409596,No_proximal_TSS,,,,,,,,FALSE,701,7,4,internal,Internal gene in polycistronic operon,FALSE,1404712,1412601,pstS,parE,pstS;pstC;pstA;pstB;phoB;phoR;parE,Internal_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,1,1,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS06420,sprT,SprT family zinc-dependent metalloprotease,+,1420648,1421169,1420648,No_proximal_TSS,,,,,,,,FALSE,706,2,2,last,Last gene in polycistronic operon,FALSE,1419880,1421169,cds-WP_039709239.1,cds-WP_005598290.1,cds-WP_039709239.1;cds-WP_005598290.1,Last_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
MIDG2331_RS06780,ptsB,sucrose-specific PTS transporter subunit IIBC,-,1482696,1484117,1484117,No_proximal_TSS,,,,,,,,FALSE,745,1,1,single,Single-gene operon,TRUE,1482696,1484117,cds-WP_039709257.1,cds-WP_039709257.1,cds-WP_039709257.1,Single_gene_without_representative_TSS,No_proximal_TSS_detected,no_proximal_TSS,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
MIDG2331_RS06845,apxIIIA,RTX family hemolysin,-,1500642,1503800,1503800,WT_plate_only,1504083,,,1504083,-283,283,,TRUE,751,4,2,internal,Internal gene in polycistronic operon,FALSE,1497005,1504325,apxIIIC,cds-WP_039709261.1,apxIIIC;cds-WP_005620396.1;cds-WP_005605166.1;cds-WP_039709261.1,Internal_gene_with_local_TSS_candidate,Candidate_internal_transcript_5UTR,multiple_TSS_internal_operon_gene,1,1,FALSE,TRUE,FALSE,FALSE,FALSE
MIDG2331_RS07270,pepN,aminopeptidase N,+,1574641,1577250,1574641,Both_concordant,1574592,1574592,0,1574592,-49,49,49,FALSE,794,1,1,single,Single-gene operon,TRUE,1574641,1577250,pepN,pepN,pepN,Single_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,,1,1,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS07320,tehB,SAM-dependent methyltransferase TehB,+,1584567,1585439,1584567,Both_concordant,1584535,1584535,0,1584535,-32,32,32,FALSE,801,1,1,single,Single-gene operon,TRUE,1584567,1585439,tehB,tehB,tehB,Single_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,,1,1,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS07335,artI,transporter substrate-binding domain-containing protein,-,1586927,1587646,1587646,WT_plate_only,1588002,,,1588002,-356,356,,FALSE,802,4,2,internal,Internal gene in polycistronic operon,FALSE,1585567,1588400,artP,artM,artP;cds-WP_005619670.1;artQ;artM,Internal_gene_with_local_TSS_candidate,Candidate_internal_transcript_5UTR,possible_internal_promoter,1,1,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS07400,mltF,membrane-bound lytic murein transglycosylase MltF,-,1597925,1599376,1599376,Both_concordant,1599402,1599402,0,1599402,-26,26,26,FALSE,809,2,1,first,First gene in polycistronic operon,TRUE,1597783,1599376,mltF,cds-WP_005598497.1,mltF;cds-WP_005598497.1,Operon_first_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,,1,1,TRUE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS07790,glpC_2,D-2-hydroxyglutarate dehydrogenase YdiJ,+,1681035,1684124,1681035,No_proximal_TSS,,,,,,,,FALSE,849,1,1,single,Single-gene operon,TRUE,1681035,1684124,ydiJ,ydiJ,ydiJ,Single_gene_without_representative_TSS,No_proximal_TSS_detected,no_proximal_TSS,1,1,FALSE,FALSE,TRUE,FALSE,FALSE
